
===== LAUNCHCTL_USER_LIST =====
PID	Status	Label
59986	0	application.com.tencent.xinWeChat.40212285.40212290
-	0	com.apple.AMPSystemPlayerAgent
60063	0	com.apple.itunescloudd
-	0	com.apple.scrod
60131	0	com.apple.spindump_agent
59962	0	com.apple.frauddefensed
-	0	com.apple.AquaAppearanceHelper
61197	0	com.apple.AuthenticationServicesCore.AuthenticationServicesAgent
-	0	com.apple.cvmsCompAgent_arm64
59940	0	com.apple.milod
-	0	com.apple.bookdatastored
-	0	com.apple.security.keychain-circle-notification
-	0	com.apple.appstorecomponentsd
60256	0	com.apple.icloud.findmydeviced.findmydevice-user-agent
59959	0	application.dev.zcode.app.64386143.64386148
59956	0	application.com.google.Chrome.5250527.62986895
-	0	com.apple.XProtect.agent.scan.startup
60158	0	com.apple.amsengagementd
63388	0	com.apple.betaenrollmentagent
-	0	com.apple.AirPortBaseStationAgent
73974	0	com.apple.proactiveeventtrackerd
-	0	com.apple.proactived
60516	0	com.apple.ModelCatalogAgent
59865	0	com.apple.universalaccessd
59873	0	com.apple.linkd
-	0	com.apple.accessibility.MotionTrackingAgent
-	0	com.apple.neagent
60078	0	com.apple.SafariLaunchAgent
-	0	com.apple.idsfoundation.IDSRemoteURLConnectionAgent
-	0	com.apple.textcomposerd
60291	0	com.apple.recentsd
59932	0	com.apple.spotlightknowledged.updater
-	0	com.apple.transparencyStaticKey
60089	0	com.apple.sirittsd
70666	0	com.apple.dprivacyd
59883	0	com.apple.usernoted
60440	0	com.apple.geodMachServiceBridge
-	0	com.apple.Safari.History
-	0	com.apple.translationd
-	0	dev.omdsh.dsh.desktop
-	0	com.apple.AddressBook.abd
-	0	com.apple.bluetoothaudiod
59890	0	com.apple.calaccessd
-	0	com.apple.ScreenReaderUIServer
-	0	com.apple.newsd
-	0	com.apple.systemsettingsagent
-	0	com.svc-workflow-monitor
60085	0	com.apple.swcd
-	0	com.apple.symptomsd.distributed-agent
60357	0	com.apple.AirPlayUIAgent
60360	0	homebrew.mxcl.syncthing
61198	0	com.apple.backgroundassets.user
-	0	com.apple.cvmsCompAgent_arm64_1
-	0	com.apple.dt.previewsd
-	0	com.apple.shazamd
59866	0	com.apple.corespotlightd
60416	0	com.apple.naturallanguaged
-	0	com.apple.netauth.user.gui
-	0	com.apple.watchlistd
59912	0	com.apple.xtyped
-	0	com.apple.TMHelperAgent
60045	0	com.apple.Spotlight
62160	0	com.apple.appstoreagent
-	0	com.apple.AMPDevicesAgent
28746	-9	com.apple.accessibility.mediaaccessibilityd
-	0	com.apple.cvmsCompAgent3425AMD_x86_64_1
-	-9	com.apple.mdworker.sizing
-	0	com.apple.SpeechRecognitionCore.brokerd
1209	0	com.apple.metadata.mdbulkimport
-	0	com.apple.iokit.IOServiceAuthorizeAgent
93404	0	com.apple.mdworker.shared.1B000000-0000-0000-0000-000000000000
-	0	com.apple.cvmsCompAgent3600_arm64
40103	-9	com.apple.WorkflowKit.ShortcutsViewService
59999	-9	com.apple.carboncore.csnameddata
-	0	com.apple.mdworker.application
93682	0	com.apple.mdworker.shared.19000000-0200-0000-0000-000000000000
93277	0	com.apple.mdworker.shared.07000000-0700-0000-0000-000000000000
39889	-9	com.apple.contactsd
-	0	com.apple.cvmsCompAgent3600_x86_64
93401	0	com.apple.mdworker.shared.02000000-0100-0000-0000-000000000000
-	0	com.apple.speech.speechsynthesisd.arm64
93132	0	com.apple.mdworker.shared.1C000000-0100-0000-0000-000000000000
-	0	com.apple.CoreRoutine.helperservice
954	0	com.apple.distnoted.xpc.agent
39205	-9	com.apple.geod
