# name | realpath | file-arch
fairseq-train | /usr/local/bin/fairseq-train | a /usr/local/opt/python@3.11/bin/python3.11 script text executable, ASCII text
fairseq-validate | /usr/local/bin/fairseq-validate | a /usr/local/opt/python@3.11/bin/python3.11 script text executable, ASCII text
fastapi | /usr/local/bin/fastapi | a /usr/local/opt/python@3.12/bin/python3.12 script text executable, ASCII text
fastboot | /usr/local/Caskroom/android-platform-tools/36.0.2/platform-tools/fastboot | Mach-O universal binary with 2 architectures: [x86_64:Mach-O 64-bit executable x
/usr/local/Caskroom/android-platform-tools/36.0.2/platform-tools/fastboot (for a
/usr/local/Caskroom/android-platform-tools/36.0.2/platform-tools/fastboot (for a
fastmcp | /usr/local/bin/fastmcp | a /usr/local/opt/python@3.12/bin/python3.12 script text executable, ASCII text
fax2ps | /usr/local/Cellar/libtiff/4.7.1_1/bin/fax2ps | Mach-O 64-bit executable x86_64
fax2tiff | /usr/local/Cellar/libtiff/4.7.1_1/bin/fax2tiff | Mach-O 64-bit executable x86_64
fbectest | /usr/local/Cellar/nss/3.123.1/bin/fbectest | Mach-O 64-bit executable x86_64
fc-cache | /usr/local/Cellar/fontconfig/2.18.1/bin/fc-cache | Mach-O 64-bit executable x86_64
fc-cat | /usr/local/Cellar/fontconfig/2.18.1/bin/fc-cat | Mach-O 64-bit executable x86_64
fc-conflist | /usr/local/Cellar/fontconfig/2.18.1/bin/fc-conflist | Mach-O 64-bit executable x86_64
fc-genconf | /usr/local/Cellar/fontconfig/2.18.1/bin/fc-genconf | Mach-O 64-bit executable x86_64
fc-list | /usr/local/Cellar/fontconfig/2.18.1/bin/fc-list | Mach-O 64-bit executable x86_64
fc-match | /usr/local/Cellar/fontconfig/2.18.1/bin/fc-match | Mach-O 64-bit executable x86_64
fc-pattern | /usr/local/Cellar/fontconfig/2.18.1/bin/fc-pattern | Mach-O 64-bit executable x86_64
fc-query | /usr/local/Cellar/fontconfig/2.18.1/bin/fc-query | Mach-O 64-bit executable x86_64
fc-scan | /usr/local/Cellar/fontconfig/2.18.1/bin/fc-scan | Mach-O 64-bit executable x86_64
fc-validate | /usr/local/Cellar/fontconfig/2.18.1/bin/fc-validate | Mach-O 64-bit executable x86_64
ffescape | /usr/local/Cellar/ffmpeg/8.1.1/bin/ffescape | Mach-O 64-bit executable x86_64
ffeval | /usr/local/Cellar/ffmpeg/8.1.1/bin/ffeval | Mach-O 64-bit executable x86_64
ffhash | /usr/local/Cellar/ffmpeg/8.1.1/bin/ffhash | Mach-O 64-bit executable x86_64
ffmpeg | /usr/local/Cellar/ffmpeg/8.1.1/bin/ffmpeg | Mach-O 64-bit executable x86_64
ffplay | /usr/local/Cellar/ffmpeg/8.1.1/bin/ffplay | Mach-O 64-bit executable x86_64
ffprobe | /usr/local/Cellar/ffmpeg/8.1.1/bin/ffprobe | Mach-O 64-bit executable x86_64
fileinfo | /usr/local/Cellar/leptonica/1.87.0/bin/fileinfo | Mach-O 64-bit executable x86_64
fipstest | /usr/local/Cellar/nss/3.123.1/bin/fipstest | Mach-O 64-bit executable x86_64
firecrawl | /usr/local/lib/node_modules/firecrawl-cli/dist/index.js | a /usr/bin/env node script text executable, Unicode text, UTF-8 text, with very 
firecrawl-mcp | /usr/local/lib/node_modules/firecrawl-mcp/dist/index.js | a /usr/bin/env node script text executable, ASCII text
fish | /usr/local/Cellar/fish/3.7.1/bin/fish | Mach-O 64-bit executable x86_64
fish_indent | /usr/local/Cellar/fish/3.7.1/bin/fish_indent | Mach-O 64-bit executable x86_64
fish_key_reader | /usr/local/Cellar/fish/3.7.1/bin/fish_key_reader | Mach-O 64-bit executable x86_64
flac | /usr/local/Cellar/flac/1.5.0/bin/flac | Mach-O 64-bit executable x86_64
flask | /usr/local/bin/flask | a /usr/local/opt/python@3.14/bin/python3.14 script text executable, ASCII text
flutter | /usr/local/share/flutter/bin/flutter | Bourne-Again shell script text executable, ASCII text
flyai | /usr/local/lib/node_modules/@fly-ai/flyai-cli/dist/flyai-bundle.cjs | a /usr/bin/env node script text executable, Unicode text, UTF-8 text, with very 
fonttools | /usr/local/bin/fonttools | a /usr/local/opt/python@3.12/bin/python3.12 script text executable, ASCII text
fourcc2pixfmt | /usr/local/Cellar/ffmpeg/8.1.1/bin/fourcc2pixfmt | Mach-O 64-bit executable x86_64
