game-dev	6acebe99-cc3b-4cb1-b6b3-befdba6f371c	game_dev_flow_v1	游戏研发流程 v1	2026-08-03	2026-08-03	0
hr-onboarding	2df082da-5136-4993-9e1c-9ac93357dda5	agent-content-to-actions-v1-0906	Agent 内容到行动建议流程	2026-09-06	2026-09-06	1
hr-onboarding	f873d899-7106-4970-96a7-4ad51cfbd232	agent-onboarding-v1	新员工入职	2026-08-08	2026-08-08	0
hr-onboarding	25ac212c-09bc-4d03-ba71-145147e5b058	agent-role-upgrade-v1	角色定义升级	2026-08-08	2026-08-08	1
hr-onboarding	e81c3787-dec2-4349-be89-e4f76714ab18	dual-agent-content-prep-v1-0906	双 Agent 内容准备流程	2026-09-06	2026-09-06	1
hr-onboarding	ae479397-dd60-44a1-b326-c2b96416f6db	retrospective-action	复盘整改验收流程	2026-08-13	2026-08-13	9
hr-onboarding	de53678d-98cb-4bac-a2f1-3d49f48b8b96	user-verification-independent-work-v1	user-verification 独立工作流验证	2026-09-06	2026-09-06	0
hr-onboarding	34710e50-7164-4c17-b50a-6096862cfedc	visit_canary_648a6b90-ff57-4945-8c2d-12a1bcbd6ed4	Disposable Visit Activation production canary	2026-09-05	2026-09-05	1
hr-onboarding	788a0725-1f0f-4e21-aa09-2c5aa1ebd274	wda_regression_fix_v1_0906	wda_regression_fix_v1_0906	2026-09-06	2026-09-06	1
journal-submission	cba25a64-6fc3-415a-8111-c286736ae711	journal_final_delivery	质检交付工作流	2026-08-07	2026-08-07	1
journal-submission	79bf7fd0-8676-4d2a-b1a1-c54ec69c5e18	journal_section_production	章节生产工作流	2026-08-07	2026-08-07	28
journal-submission	53f2fbaf-ac48-433e-b297-97abcaa96421	journal-submission	论文投稿工作流	2026-08-06	2026-08-06	0
journal-submission	e7d081f8-f576-4685-bd63-c921a7921bab	research_ideation	研究选题工作流	2026-08-08	2026-08-08	1
knowledge-curation	d54a1453-b9a0-4cd4-a6b1-ff9aa4cd1e81	audio-to-knowledge	音频转知识流水线	2026-08-05	2026-08-05	0
knowledge-curation	ed939b91-e75a-4e1d-a8ae-a3807f65011b	video-to-knowledge	视频转知识流水线	2026-08-08	2026-08-08	2
knowledge-curation	ffec36b9-ba09-4f81-9926-e9f57233ba3f	wiki-compile-review-publish	Wiki 编译-审核-发布	2026-08-02	2026-08-02	108
obo-conformance-domain	d0000000-0000-4000-8000-00000000d100	obo-conformance-def	OBO Conformance Def	2026-07-20	2026-07-20	0
smoke-test-d76e45e7	a0000000-0000-0000-0000-000000000001	smoke-test-def	Smoke Test Definition	2026-07-18	2026-07-18	0
workflow-todo-dogfood	50c7fad7-d740-4b8f-8ac1-c7f46f92fe95	agent_self_task_v1	Agent Self Task	2026-07-17	2026-07-17	8
workflow-todo-dogfood	86f4346c-31ed-4170-a022-894ad0611327	idea_pool_v1	Idea Pool	2026-08-01	2026-08-01	3
workflow-todo-dogfood	2063afa4-85ae-48db-90d4-47042ba6ab31	personal_quick_item_v1	Personal Quick Item	2026-07-17	2026-07-17	86
